i,j,ux,uy,phase
0,0,7.05447e-15,-3.47511e-16,-1
0,1,7.06142e-15,-1.33869e-09,-1
0,2,7.14482e-15,-1.28319e-08,-1
0,3,7.29773e-15,-4.41697e-08,-1
0,4,7.46453e-15,-1.04132e-07,-1
0,5,7.65914e-15,-2.00179e-07,-1
0,6,7.77729e-15,-3.38097e-07,-1
0,7,7.9024e-15,-5.21718e-07,-1
0,8,8.10395e-15,-7.52735e-07,-1
0,9,8.29161e-15,-1.03062e-06,-1
0,10,8.42366e-15,-1.35264e-06,-1
0,11,8.53487e-15,-1.71405e-06,-1
0,12,8.65302e-15,-2.10833e-06,-1
0,13,8.64607e-15,-2.52752e-06,-1
0,14,8.59047e-15,-2.96271e-06,-1
0,15,8.51401e-15,-3.40445e-06,-1
0,16,8.36806e-15,-3.84326e-06,-1
0,17,8.24991e-15,-4.27002e-06,-1
0,18,7.97885e-15,-4.67639e-06,-1
0,19,7.66609e-15,-5.05507e-06,-1
0,20,7.31858e-15,-5.39997e-06,-1
0,21,6.88071e-15,-5.70635e-06,-1
0,22,6.5193e-15,-5.97079e-06,-1
0,23,6.20654e-15,-6.19114e-06,-1
0,24,5.86598e-15,-6.36639e-06,-1
0,25,5.46982e-15,-6.49656e-06,-1
0,26,4.99025e-15,-6.58247e-06,-1
0,27,4.61494e-15,-6.62562e-06,-1
0,28,4.13538e-15,-6.62798e-06,-1
0,29,3.58631e-15,-6.59182e-06,-1
0,30,3.07895e-15,-6.51959e-06,-1
0,31,2.56463e-15,-6.41374e-06,-1
0,32,2.00166e-15,-6.27662e-06,-1
0,33,1.44564e-15,-6.11041e-06,-1
0,34,8.27076e-16,-5.91702e-06,-1
0,35,2.91909e-16,-5.69807e-06,-1
0,36,-2.57158e-16,-5.45489e-06,-1
0,37,-9.45229e-16,-5.18849e-06,-1
0,38,-1.69585e-15,-4.89967e-06,-1
0,39,-2.39087e-15,-4.58905e-06,-1
0,40,-3.1415e-15,-4.25714e-06,-1
0,41,-3.94772e-15,-3.90446e-06,-1
0,42,-4.75395e-15,-3.53165e-06,-1
0,43,-5.46982e-15,-3.13955e-06,-1
0,44,-6.10924e-15,-2.72933e-06,-1
0,45,-6.82511e-15,-2.30249e-06,-1
0,46,-7.43673e-15,-1.86097e-06,-1
0,47,-7.97884e-15,-1.4071e-06,-1
0,48,-8.28465e-15,-9.43598e-07,-1
0,49,-8.67386e-15,-4.73481e-07,-1
0,50,-8.93102e-15,-1.2983e-14,-1
0,51,-9.09088e-15,4.7348e-07,-1
0,52,-9.06308e-15,9.43598e-07,-1
0,53,-8.97272e-15,1.4071e-06,-1
0,54,-8.74337e-15,1.86097e-06,-1
0,55,-8.40976e-15,2.30249e-06,-1
0,56,-8.04835e-15,2.72933e-06,-1
0,57,-7.53403e-15,3.13955e-06,-1
0,58,-7.03362e-15,3.53165e-06,-1
0,59,-6.4498e-15,3.90446e-06,-1
0,60,-5.83818e-15,4.25714e-06,-1
0,61,-5.13621e-15,4.58905e-06,-1
0,62,-4.47594e-15,4.89967e-06,-1
0,63,-3.84347e-15,5.18849e-06,-1
0,64,-3.2249e-15,5.45489e-06,-1
0,65,-2.55073e-15,5.69807e-06,-1
0,66,-1.93911e-15,5.91702e-06,-1
0,67,-1.36224e-15,6.11041e-06,-1
0,68,-7.57573e-16,6.27662e-06,-1
0,69,-2.71058e-16,6.41374e-06,-1
0,70,2.64108e-16,6.51959e-06,-1
0,71,7.92324e-16,6.59182e-06,-1
0,72,1.15374e-15,6.62798e-06,-1
0,73,1.51515e-15,6.62562e-06,-1
0,74,1.98776e-15,6.58247e-06,-1
0,75,2.27272e-15,6.49656e-06,-1
0,76,2.58548e-15,6.36639e-06,-1
0,77,2.94689e-15,6.19114e-06,-1
0,78,3.20405e-15,5.97079e-06,-1
0,79,3.42646e-15,5.70635e-06,-1
0,80,3.57241e-15,5.39997e-06,-1
0,81,3.85042e-15,5.05507e-06,-1
0,82,4.12843e-15,4.67639e-06,-1
0,83,4.38559e-15,4.27002e-06,-1
0,84,4.65664e-15,3.84326e-06,-1
0,85,4.89295e-15,3.40445e-06,-1
0,86,5.21266e-15,2.96271e-06,-1
0,87,5.44202e-15,2.52752e-06,-1
0,88,5.76868e-15,2.10833e-06,-1
0,89,6.00499e-15,1.71405e-06,-1
0,90,6.14399e-15,1.35264e-06,-1
0,91,6.3247e-15,1.03062e-06,-1
0,92,6.55406e-15,7.52735e-07,-1
0,93,6.73476e-15,5.21718e-07,-1
0,94,6.79036e-15,3.38097e-07,-1
0,95,6.87377e-15,2.00179e-07,-1
0,96,6.97802e-15,1.04132e-07,-1
0,97,6.95022e-15,4.41697e-08,-1
0,98,6.99192e-15,1.28319e-08,-1
0,99,7.06142e-15,1.33869e-09,-1
1,0,-1.33868e-09,-1.12594e-15,-1
1,1,3.76913e-09,3.76912e-09,-1
1,2,1.88606e-08,-2.61763e-09,-1
1,3,4.32488e-08,-2.88622e-08,-1
1,4,7.58186e-08,-8.37755e-08,-1
1,5,1.15072e-07,-1.74874e-07,-1
1,6,1.59191e-07,-3.0803e-07,-1
1,7,2.06123e-07,-4.87188e-07,-1
1,8,2.53676e-07,-7.14172e-07,-1
1,9,2.99627e-07,-9.88595e-07,-1
1,10,3.41849e-07,-1.30788e-06,-1
1,11,3.78417e-07,-1.66739e-06,-1
1,12,4.07716e-07,-2.0607e-06,-1
1,13,4.28529e-07,-2.47991e-06,-1
1,14,4.40089e-07,-2.91609e-06,-1
1,15,4.42101e-07,-3.35975e-06,-1
1,16,4.34729e-07,-3.80129e-06,-1
1,17,4.18544e-07,-4.23145e-06,-1
1,18,3.94454e-07,-4.64172e-06,-1
1,19,3.63605e-07,-5.0246e-06,-1
1,20,3.27289e-07,-5.37381e-06,-1
1,21,2.86849e-07,-5.68444e-06,-1
1,22,2.43597e-07,-5.9529e-06,-1
1,23,1.98757e-07,-6.17692e-06,-1
1,24,1.53414e-07,-6.35537e-06,-1
1,25,1.08494e-07,-6.48819e-06,-1
1,26,6.47458e-08,-6.57613e-06,-1
1,27,2.27402e-08,-6.62065e-06,-1
1,28,-1.71248e-08,-6.62368e-06,-1
1,29,-5.46137e-08,-6.58749e-06,-1
1,30,-8.96379e-08,-6.51452e-06,-1
1,31,-1.22236e-07,-6.40724e-06,-1
1,32,-1.5255e-07,-6.26804e-06,-1
1,33,-1.808e-07,-6.09913e-06,-1
1,34,-2.07259e-07,-5.90251e-06,-1
1,35,-2.3222e-07,-5.67987e-06,-1
1,36,-2.55973e-07,-5.43268e-06,-1
1,37,-2.78778e-07,-5.1621e-06,-1
1,38,-3.00838e-07,-4.86914e-06,-1
1,39,-3.22282e-07,-4.55461e-06,-1
1,40,-3.43148e-07,-4.21931e-06,-1
1,41,-3.63373e-07,-3.86403e-06,-1
1,42,-3.82795e-07,-3.4897e-06,-1
1,43,-4.01165e-07,-3.09745e-06,-1
1,44,-4.18157e-07,-2.68863e-06,-1
1,45,-4.33407e-07,-2.26491e-06,-1
1,46,-4.46532e-07,-1.82825e-06,-1
1,47,-4.57172e-07,-1.38088e-06,-1
1,48,-4.65015e-07,-9.2526e-07,-1
1,49,-4.69821e-07,-4.64045e-07,-1
1,50,-4.7144e-07,-1.29482e-14,-1
1,51,-4.69821e-07,4.64045e-07,-1
1,52,-4.65015e-07,9.2526e-07,-1
1,53,-4.57172e-07,1.38088e-06,-1
1,54,-4.46532e-07,1.82825e-06,-1
1,55,-4.33407e-07,2.26491e-06,-1
1,56,-4.18157e-07,2.68863e-06,-1
1,57,-4.01165e-07,3.09745e-06,-1
1,58,-3.82795e-07,3.4897e-06,-1
1,59,-3.63373e-07,3.86403e-06,-1
1,60,-3.43148e-07,4.21931e-06,-1
1,61,-3.22282e-07,4.55461e-06,-1
1,62,-3.00838e-07,4.86914e-06,-1
1,63,-2.78778e-07,5.1621e-06,-1
1,64,-2.55973e-07,5.43268e-06,-1
1,65,-2.3222e-07,5.67987e-06,-1
1,66,-2.07259e-07,5.90251e-06,-1
1,67,-1.808e-07,6.09913e-06,-1
1,68,-1.5255e-07,6.26804e-06,-1
1,69,-1.22236e-07,6.40724e-06,-1
1,70,-8.96379e-08,6.51452e-06,-1
1,71,-5.46137e-08,6.58749e-06,-1
1,72,-1.71248e-08,6.62368e-06,-1
1,73,2.27402e-08,6.62065e-06,-1
1,74,6.47458e-08,6.57613e-06,-1
1,75,1.08494e-07,6.48819e-06,-1
1,76,1.53414e-07,6.35537e-06,-1
1,77,1.98757e-07,6.17692e-06,-1
1,78,2.43597e-07,5.9529e-06,-1
1,79,2.86849e-07,5.68444e-06,-1
1,80,3.27289e-07,5.37381e-06,-1
1,81,3.63605e-07,5.0246e-06,-1
1,82,3.94454e-07,4.64172e-06,-1
1,83,4.18544e-07,4.23145e-06,-1
1,84,4.34729e-07,3.80129e-06,-1
1,85,4.42101e-07,3.35975e-06,-1
1,86,4.40089e-07,2.91609e-06,-1
1,87,4.28529e-07,2.47991e-06,-1
1,88,4.07716e-07,2.0607e-06,-1
1,89,3.78417e-07,1.66739e-06,-1
1,90,3.41849e-07,1.30788e-06,-1
1,91,2.99627e-07,9.88595e-07,-1
1,92,2.53676e-07,7.14172e-07,-1
1,93,2.06123e-07,4.87188e-07,-1
1,94,1.59191e-07,3.0803e-07,-1
1,95,1.15072e-07,1.74874e-07,-1
1,96,7.58186e-08,8.37755e-08,-1
1,97,4.32488e-08,2.88622e-08,-1
1,98,1.88606e-08,2.61763e-09,-1
1,99,3.76913e-09,-3.76912e-09,-1
2,0,-1.28319e-08,-1.90436e-15,-1
2,1,-2.61762e-09,1.88606e-08,-1
2,2,2.75717e-08,2.75717e-08,-1
2,3,7.63925e-08,1.64067e-08,-1
2,4,1.4166e-07,-2.35282e-08,-1
2,5,2.20435e-07,-9.99103e-08,-1
2,6,3.09138e-07,-2.18858e-07,-1
2,7,4.03712e-07,-3.84646e-07,-1
2,8,4.99805e-07,-5.99494e-07,-1
2,9,5.92988e-07,-8.63448e-07,-1
2,10,6.78982e-07,-1.17436e-06,-1
2,11,7.5389e-07,-1.52797e-06,-1
2,12,8.14411e-07,-1.91815e-06,-1
2,13,8.58013e-07,-2.33717e-06,-1
2,14,8.83054e-07,-2.77611e-06,-1
2,15,8.88839e-07,-3.22531e-06,-1
2,16,8.75602e-07,-3.67489e-06,-1
2,17,8.44414e-07,-4.11515e-06,-1
2,18,7.97044e-07,-4.53705e-06,-1
2,19,7.35773e-07,-4.9325e-06,-1
2,20,6.63194e-07,-5.29468e-06,-1
2,21,5.82025e-07,-5.61811e-06,-1
2,22,4.94939e-07,-5.89873e-06,-1
