model,step,sigma_ratio,peak_speed
eos_legacy,4000,0.77974005,0.006693886
eos_legacy,8000,0.72366089,0.0052669574
eos_legacy,12000,0.76675979,0.0043773102
eos_legacy,16000,0.80965004,0.0037021163
eos_legacy,20000,0.83362626,0.0026432467
eos_legacy,24000,0.84322608,0.0020686655
eos_legacy,28000,0.84443046,0.001959018
eos_legacy,32000,0.8415407,0.00164943
eos_legacy,36000,0.83731596,0.0015101873
eos_legacy,40000,0.83329755,0.0015257579
eos_legacy,44000,0.82940707,0.0018129104
eos_legacy,48000,0.71423675,0.013706207
eos_legacy,52000,0.49663525,0.047904476
eos_csf,4000,0.94403524,0.0087575528
eos_csf,8000,0.92953487,0.007215216
eos_csf,12000,0.94526493,0.0065745675
eos_csf,16000,0.96330438,0.0034780383
eos_csf,20000,0.96684963,0.0036890874
eos_csf,24000,0.95640013,0.0034909903
eos_csf,28000,0.93600544,0.0026902732
eos_csf,32000,0.91134205,0.0023885318
eos_csf,36000,0.88758737,0.0025601635
eos_csf,40000,0.86810729,0.0023754508
eos_csf,44000,0.85449167,0.0020148524
eos_csf,48000,0.84703695,0.0016028122
eos_csf,52000,0.84507218,0.0012565508
eos_csf,56000,0.84682565,0.0011105966
eos_csf,60000,0.88100114,0.011914323
eos_csf,64000,-0.58320242,0.023242155
eos_csf,68000,-0.34062838,0.041529652
eos_csf,72000,-0.72563338,0.063517961
two_population,4000,0.95926101,0.0025424864
two_population,8000,0.98719049,0.0011702859
two_population,12000,0.99460437,0.00059764541
two_population,16000,0.99870211,0.00031215561
two_population,20000,1.0008535,0.0001697212
two_population,24000,1.0019534,0.00010083333
two_population,28000,1.0025052,6.7851345e-05
two_population,32000,1.0027776,5.3292762e-05
two_population,36000,1.0029095,4.6727649e-05
two_population,40000,1.0029723,4.3434738e-05
two_population,44000,1.0030016,4.1799348e-05
two_population,48000,1.0030149,4.0994351e-05
two_population,52000,1.0030208,4.0601456e-05
two_population,56000,1.0030232,4.0411288e-05
two_population,60000,1.0030242,4.0319998e-05
two_population,64000,1.0030245,4.0276535e-05
two_population,68000,1.0030246,4.0256016e-05
two_population,72000,1.0030246,4.024642e-05
two_population,76000,1.0030245,4.0241949e-05
two_population,80000,1.0030245,4.0239886e-05
two_population,84000,1.0030245,4.0238936e-05
two_population,88000,1.0030245,4.023851e-05
two_population,92000,1.0030245,4.0238313e-05
two_population,96000,1.0030245,4.0238234e-05
two_population,100000,1.0030244,4.023819e-05
two_population,104000,1.0030244,4.0238169e-05
two_population,108000,1.0030244,4.0238182e-05
two_population,112000,1.0030244,4.0238174e-05
two_population,116000,1.0030244,4.0238186e-05
two_population,120000,1.0030244,4.0238193e-05
