model,ratio,sigma_ratio,peak_speed,survived
eos_legacy,2,0.95446994,0.0012020616,1
eos_csf,2,1.0261405,2.2498171e-05,1
two_population,2,1.0026028,8.4125079e-06,1
eos_legacy,5,0.90857186,0.0012108295,1
eos_csf,5,1.0226382,2.1237617e-05,1
two_population,5,1.0014694,9.9776793e-06,1
eos_legacy,10,0.89355504,0.0011796471,1
eos_csf,10,1.0212843,1.9186412e-05,1
two_population,10,1.0012599,1.5093709e-05,1
eos_legacy,20,0.89491926,0.0011855889,1
eos_csf,20,1.0212146,1.6626674e-05,1
two_population,20,1.0014538,2.0064576e-05,1
eos_legacy,50,0.89955016,0.0011906143,1
eos_csf,50,1.0217429,1.1901132e-05,1
two_population,50,1.0019658,2.5278783e-05,1
eos_legacy,100,0.90440408,0.0011851729,1
eos_csf,100,1.0216344,9.8167875e-06,1
two_population,100,1.0023457,2.8638055e-05,1
eos_legacy,200,0.89759053,0.001179541,1
eos_csf,200,1.0205647,7.4766385e-06,1
two_population,200,1.0026445,3.1224943e-05,1
eos_legacy,500,0.61819678,0.024573939,1
eos_csf,500,0.99345816,0.00022411257,1
two_population,500,1.0029066,3.5976211e-05,1
eos_legacy,1000,nan,nan,0
eos_csf,1000,nan,nan,0
two_population,1000,1.0030242,4.0319998e-05,1
eos_legacy,10000,nan,nan,0
eos_csf,10000,nan,nan,0
two_population,10000,0.97702032,0.016532735,1
eos_legacy,100000,nan,nan,0
eos_csf,100000,nan,nan,0
two_population,100000,0.84809278,0.014351957,1
