model,r,phase,rho,p
eos_csf,0,1,999.99796,0.36043547
eos_csf,1,1,999.99906,0.36099409
eos_csf,2,0.99999999,999.99466,0.36065676
eos_csf,3,0.99999996,999.97395,0.35924054
eos_csf,4,0.99999979,999.88782,0.35644669
eos_csf,5,0.99999902,999.53801,0.35830097
eos_csf,6,0.99999535,997.91301,0.36682085
eos_csf,7,0.99997643,989.76079,0.37743856
eos_csf,8,0.99988348,950.02252,0.3685723
eos_csf,9,0.99949521,804.11626,0.34507336
eos_csf,10,0.9978689,489.72269,0.34054729
eos_csf,11,0.99076883,180.63153,0.33883196
eos_csf,12,0.9605501,48.614223,0.33563368
eos_csf,13,0.84719498,12.91552,0.33289744
eos_csf,14,0.53441674,4.27045,0.33246436
eos_csf,15,-0.0020319465,1.9928273,0.33314407
eos_csf,16,-0.53630367,1.3009762,0.33321627
eos_csf,17,-0.84617192,1.083188,0.33331966
eos_csf,18,-0.95915342,1.0211533,0.33343963
eos_csf,19,-0.99009453,1.0055686,0.33353108
eos_csf,20,-0.99766082,1.0019697,0.33359965
eos_csf,21,-0.99945148,1.0012137,0.33364647
eos_csf,22,-0.99987164,1.0010999,0.33367857
eos_csf,23,-0.99996999,1.0011175,0.33370084
eos_csf,24,-0.99999299,1.001153,0.33371649
eos_csf,25,-0.99999836,1.001183,0.3337274
eos_csf,26,-0.99999962,1.0012053,0.33373503
eos_csf,27,-0.99999991,1.0012211,0.33374034
eos_csf,28,-0.99999997,1.0012321,0.33374403
eos_csf,29,-0.99999997,1.0012398,0.3337466
eos_csf,30,-0.99999997,1.0012451,0.33374838
eos_csf,31,-0.99999997,1.0012488,0.33374961
eos_csf,32,-0.99999997,1.0012514,0.33375046
eos_csf,33,-0.99999997,1.0012531,0.33375104
eos_csf,34,-0.99999997,1.0012543,0.33375143
eos_csf,35,-0.99999997,1.0012551,0.3337517
eos_csf,36,-0.99999997,1.0012557,0.33375188
eos_csf,37,-0.99999997,1.001256,0.333752
eos_csf,38,-0.99999997,1.0012562,0.33375207
eos_csf,39,-0.99999997,1.0012564,0.33375212
eos_csf,40,-0.99999997,1.0012565,0.33375215
eos_csf,41,-0.99999997,1.0012565,0.33375216
eos_csf,42,-0.99999997,1.0012565,0.33375217
eos_csf,43,-0.99999997,1.0012565,0.33375217
eos_csf,44,-0.99999997,1.0012565,0.33375217
eos_csf,45,-0.99999997,1.0012565,0.33375216
eos_csf,46,-0.99999997,1.0012565,0.33375215
eos_csf,47,-0.99999997,1.0012564,0.33375214
eos_csf,48,-0.99999997,1.0012564,0.33375214
eos_csf,49,-0.99999997,1.0012564,0.33375213
eos_csf,50,-0.99999997,1.0012564,0.33375212
eos_csf,51,-0.99999997,1.0012564,0.33375211
eos_csf,52,-0.99999997,1.0012563,0.33375211
eos_csf,53,-0.99999997,1.0012563,0.3337521
eos_csf,54,-0.99999997,1.0012563,0.3337521
eos_csf,55,-0.99999997,1.0012563,0.33375209
eos_csf,56,-0.99999997,1.0012563,0.33375209
eos_csf,57,-0.99999997,1.0012563,0.33375208
eos_csf,58,-0.99999997,1.0012563,0.33375208
eos_csf,59,-0.99999997,1.0012562,0.33375208
eos_csf,60,-0.99999997,1.0012562,0.33375208
eos_csf,61,-0.99999997,1.0012562,0.33375207
eos_csf,62,-0.99999997,1.0012562,0.33375207
eos_csf,63,-0.99999997,1.0012562,0.33375207
two_population,0,1,1006.7664,0.48324785
two_population,1,1,1006.7663,0.48324784
two_population,2,1,1006.7662,0.4832478
two_population,3,1,1006.7661,0.48324772
two_population,4,1,1006.7659,0.48324763
two_population,5,1,1006.7657,0.48324754
two_population,6,1,1006.7654,0.4832474
two_population,7,1,1006.765,0.48324721
two_population,8,1,1006.7647,0.48324704
two_population,9,1,1006.7642,0.48324684
two_population,10,1,1006.7637,0.48324658
two_population,11,1,1006.7633,0.48324637
two_population,12,0.99999999,1006.763,0.48324626
two_population,13,0.99999997,1006.763,0.48324626
two_population,14,0.99999985,1006.7627,0.48324613
two_population,15,0.99999931,1006.7612,0.48324554
two_population,16,0.99999681,1006.7576,0.48324441
two_population,17,0.99998539,1006.7499,0.48324347
two_population,18,0.99993378,1006.7244,0.48324371
two_population,19,0.99970219,1006.6099,0.48324464
two_population,20,0.99866876,1006.0841,0.48324171
two_population,21,0.99408221,1003.7309,0.48321921
two_population,22,0.97396237,993.41882,0.48312445
two_population,23,0.88941061,950.29707,0.48281289
two_population,24,0.58812605,797.72634,0.48208939
two_population,25,-0.068822112,467.10693,0.48101286
two_population,26,-0.67020597,165.74432,0.48003533
two_population,27,-0.91302357,44.397428,0.47948916
two_population,28,-0.9781126,11.915117,0.47929042
